gender,country,city,age,brand,department,category,target
M,United States,Columbia,29.0,Fox;Buffalo by David Bitton;SmartWool;Columbia;C-IN2,Men;Men;Men;Men;Men,Fashion Hoodies & Sweatshirts;Jeans;Active;Sweaters;Underwear,0
M,United States,Aurora,13.0,Speedo,Men,Swim,0
F,United Kingdom,Chandler's Ford,13.0,DreamSacks;Isaac Mizrahi Jeans;Lily White;Bullhead,Women;Women;Women;Women,Sleep & Lounge;Tops & Tees;Sweaters;Jeans,0
M,Brasil,Lauro de Freitas,15.0,Rodd & Gunn;Hurley,Men;Men,Sweaters;Suits & Sport Coats,0
F,United States,Dunedin,36.0,MTC,Women,Tops & Tees,0
M,China,Huizhou,36.0,Robert Graham;SmartWool,Men;Men,Shorts;Outerwear & Coats,0
F,United States,Plainfield,55.0,SleepytimePjs;Reebok;Fila;Filson,Women;Women;Women;Women,Sleep & Lounge;Fashion Hoodies & Sweatshirts;Active;Socks & Hosiery,0
F,United States,Potomac,38.0,L.A. Idol Jeans,Women,Jeans,0
F,Australia,Melbourne,37.0,maxandcleo,Women,Dresses,0
M,South Korea,Busan,13.0,Volcom;Barbour,Men;Men,Swim;Outerwear & Coats,0
M,China,Huanggang,14.0,Michael Kors;Quiksilver;Van Heusen,Men;Men;Men,Suits & Sport Coats;Tops & Tees;Sweaters,0
M,Brasil,Santa Helena,65.0,Allegra K;Vine Branch;Thorlo;Wrangler;Nautica,Men;Men;Men;Men;Men,Outerwear & Coats;Accessories;Socks;Jeans;Jeans,1
M,South Korea,Gwangju,14.0,Nautica;RVCA,Men;Men,Sleep & Lounge;Tops & Tees,1
F,China,Chongqing,27.0,Tri-Mountain;PAIGE;Woman Within,Women;Women;Women,Tops & Tees;Jeans;Active,0
M,United States,New York,13.0,Van Heusen;Hanes;Louis Raphael,Men;Men;Men,Sweaters;Underwear;Pants,0
F,China,Changchun,39.0,Life Is Good;Fruit of the Loom,Women;Women,Fashion Hoodies & Sweatshirts;Plus,0
M,South Korea,Busan,15.0,Calvin Klein,Men,Fashion Hoodies & Sweatshirts,0
F,United States,Hialeah,26.0,Curve Appeal,Women,Dresses,0
F,South Korea,Gyeongsan City,59.0,Coquette;Laura;Roxy;Coach,Women;Women;Women;Women,Intimates;Intimates;Shorts;Accessories,1
M,United States,Kissimmee,31.0,Retrofit;Caravelli,Men;Men,Fashion Hoodies & Sweatshirts;Suits & Sport Coats,0
M,Brasil,Breves,35.0,Persol,Men,Accessories,0
F,China,Zhangzhou,69.0,The Pajamagram Company,Women,Sleep & Lounge,0
F,United States,Kannapolis,25.0,James Jeans,Women,Maternity,0
M,Brasil,Conceição do Coité,39.0,Nintendo,Men,Fashion Hoodies & Sweatshirts,1
F,Brasil,Rio Branco,51.0,Betsey Johnson,Women,Socks & Hosiery,0
F,United States,Olney,36.0,Underworks,Women,Intimates,0
M,Brasil,Pacajus,59.0,Quiksilver;Lee;Dockers,Men;Men;Men,Fashion Hoodies & Sweatshirts;Shorts;Pants,0
M,China,Shenzhen,39.0,ANS,Men,Pants,1
M,Brasil,Macapá,52.0,American Essentials,Men,Sleep & Lounge,0
F,China,Dalian,19.0,SK Hat shop;FineBrandShop,Women;Women,Socks & Hosiery;Blazers & Jackets,0
F,China,NanNing,68.0,Leading Lady,Women,Intimates,0
M,United States,Altadena,63.0,Ed Garments;Van Heusen,Men;Men,Shorts;Tops & Tees,0
M,China,Guangzhou,13.0,7 For All Mankind,Men,Pants,0
F,South Korea,Seoul,54.0,N-Fini;YogaColors,Women;Women,Intimates;Tops & Tees,0
F,Germany,Starnberg,69.0,Flexees;Allegra K,Women;Women,Intimates;Sweaters,0
M,China,Urumqi,19.0,Hanes,Men,Socks,0
M,China,Shaoyang,45.0,Carhartt;Haggar;Forever Collectibles;PACT,Men;Men;Men;Men,Jeans;Pants;Socks;Underwear,0
F,China,Taiyuan,59.0,JiMarti;Full Tilt,Women;Women,Accessories;Fashion Hoodies & Sweatshirts,0
F,Japan,Fujimi City,54.0,Moving Comfort;Luxury Divas;eVogues Apparel;Calvin Klein,Women;Women;Women;Women,Pants & Capris;Leggings;Skirts;Sweaters,0
F,China,Shenzhen,40.0,!it Jeans,Women,Shorts,0
F,China,Yulin,50.0,Three Seasons Maternity;7 For All Mankind,Women;Women,Maternity;Jeans,0
M,United States,Philadelphia,14.0,Carhartt;Ed Hardy,Men;Men,Outerwear & Coats;Outerwear & Coats,0
F,China,Guilin,50.0,Carol Wright Gifts;Roxy,Women;Women,Socks & Hosiery;Swim,0
M,Brasil,Brasília,51.0,Leisureland,Men,Sleep & Lounge,0
F,Germany,Hürth,23.0,Le Mystere;Kashwere;Laura;Prego,Women;Women;Women;Women,Intimates;Sleep & Lounge;Intimates;Maternity,0
F,Brasil,Louveira,12.0,Agan Traders,Women,Skirts,0
M,Belgium,Ghent,22.0,Arc'teryx;Russell Athletic,Men;Men,Outerwear & Coats;Tops & Tees,0
M,China,Quanzhou,23.0,Ralph Lauren,Men,Swim,0
M,Germany,Ludwigshafen am Rhein,13.0,Fred Perry;Darn Tough;Columbia,Men;Men;Men,Tops & Tees;Socks;Shorts,0
F,China,Guangzhou,65.0,Valmont,Women,Intimates,0
F,United States,Douglasville,18.0,Sutton Studio,Women,Pants & Capris,0
M,Brasil,Rio Largo,18.0,Diesel,Men,Jeans,0
F,Spain,Urbanización Villanueva,18.0,Sutton Studio,Women,Blazers & Jackets,0
F,China,Taizhou,30.0,Carhartt,Women,Accessories,0
F,China,Handan,58.0,Scarf_tradinginc;Assets,Women;Women,Accessories;Intimates,0
M,South Korea,Seoul,35.0,Mod-O-Doc;HUGO BOSS,Men;Men,Shorts;Sleep & Lounge,0
M,China,Wuxi,28.0,Ian Leino Design;Activewear Apparel;Knothe;Hurley;Jor;SockGuy,Men;Men;Men;Men;Men;Men,Tops & Tees;Fashion Hoodies & Sweatshirts;Sleep & Lounge;Shorts;Swim;Socks,0
M,China,Jilin,54.0,Vince Camuto;Hanro,Men;Men,Socks;Underwear,0
F,China,Haikou,66.0,Hot from Hollywood;Overland Sheepskin Co,Women;Women,Dresses;Outerwear & Coats,0
F,Brasil,Taiçoca,27.0,Fashion Essentials;Allegra K,Women;Women,Intimates;Blazers & Jackets,1
F,China,Huaibei,26.0,Wigwam;Gold Toe,Women;Women,Plus;Active,0
M,United States,Owensboro,69.0,CasualMale,Men,Sleep & Lounge,0
M,China,Changsha,15.0,Nautica;Lucky Brand;Allegra K;K. Bell;2(x)ist;Plan B;Nasty Pig;Hot Topic;robesale,Men;Men;Men;Men;Men;Men;Men;Men;Men,Sleep & Lounge;Tops & Tees;Fashion Hoodies & Sweatshirts;Socks;Underwear;Pants;Jeans;Jeans;Sleep & Lounge,0
F,China,Chengdu,48.0,Kasper;La Fiorentina,Women;Women,Suits;Accessories,1
M,Brasil,Muriaé,38.0,Rombo,Men,Outerwear & Coats,0
F,United States,Mount Prospect,58.0,BCBGeneration;SK Hat shop;Hip;Merry Modes;AnimalShirtsUSA;Danskin,Women;Women;Women;Women;Women;Women,Dresses;Leggings;Intimates;Intimates;Tops & Tees;Socks & Hosiery,0
F,China,Yili Kazakh Autonomous Prefecture,60.0,Zenana;Champion,Women;Women,Tops & Tees;Active,0
M,South Korea,Incheon Metropolitan City,38.0,O'Neill;Columbia;Canyon Ridge;SmartWool;Reebok,Men;Men;Men;Men;Men,Swim;Active;Fashion Hoodies & Sweatshirts;Active;Tops & Tees,0
M,China,Guangzhou,59.0,Joseph Abboud;True Religion,Men;Men,Sleep & Lounge;Jeans,0
M,United States,Ocean Springs,25.0,Hanro,Men,Sleep & Lounge,1
M,China,Shenzhen,25.0,FoxRiver;Dickies,Men;Men,Socks;Shorts,0
F,Spain,Palma,54.0,LOTUSTRADERS;Bali,Women;Women,Blazers & Jackets;Intimates,0
F,United States,McDonough,44.0,Illusion,Women,Intimates,1
F,China,Jieyang,52.0,VIVILLI,Women,Intimates,0
M,Brasil,Brasília,66.0,Gucci,Men,Accessories,1
F,China,Shanghai,16.0,Betsey Johnson;Calvin Klein Jeans,Women;Women,Intimates;Jeans,0
F,South Korea,Gwangmyeong City,38.0,Twelfth Street by Cynthia Vincent;eyewear,Women;Women,Jumpsuits & Rompers;Plus,0
M,United States,New Bern,67.0,INDERA THERMALS,Men,Underwear,0
F,China,Hohhot,68.0,Allegra K,Women,Dresses,0
F,China,Taiyuan,46.0,Hanro;Hanes;Allegra K,Women;Women;Women,Intimates;Socks & Hosiery;Shorts,0
F,China,Wenzhou,12.0,Comfort Choice;Steve Madden;TopTie;LissKiss;Ed Garments;SmartWool,Women;Women;Women;Women;Women;Women,Socks & Hosiery;Socks & Hosiery;Accessories;Leggings;Skirts;Active,0
F,Germany,Hilden,62.0,Southpole,Women,Shorts,0
M,China,Xi'an,14.0,Diesel,Men,Active,0
M,China,Qingdao,44.0,Club Room;Diesel;Barbour;Perry Ellis;Rusty,Men;Men;Men;Men;Men,Sleep & Lounge;Underwear;Sweaters;Sweaters;Shorts,0
M,China,Kunming,48.0,O'Neill;The Pajamagram Company;2(x)ist;Dockers;Hanes;Rufskin;Wrangler,Men;Men;Men;Men;Men;Men;Men,Fashion Hoodies & Sweatshirts;Sleep & Lounge;Underwear;Pants;Socks;Jeans;Jeans,0
M,Brasil,Limeira,40.0,Jockey,Men,Underwear,0
M,Belgium,Halen,22.0,Wigwam;Red Kap;Caravelli;Gary Majdell Sport;Ralph Lauren;Diesel,Men;Men;Men;Men;Men;Men,Socks;Pants;Suits & Sport Coats;Swim;Suits & Sport Coats;Underwear,1
F,South Korea,Wangsu-gun,53.0,Luxury Divas;Frederick's of Hollywood,Women;Women,Accessories;Intimates,0
M,United Kingdom,Beckenham,30.0,BLOOMINGDALES;Gordini,Men;Men,Sweaters;Accessories,1
F,Brasil,Mairiporã,48.0,The North Face;Allegra K;Zoot,Women;Women;Women,Outerwear & Coats;Intimates;Swim,0
M,Belgium,Wommelgem,14.0,Under Armour;Thorlo;Guide Gear;Harley-Davidson;Royal Robbins;Tommy Hilfiger,Men;Men;Men;Men;Men;Men,Active;Active;Jeans;Fashion Hoodies & Sweatshirts;Shorts;Accessories,0
M,United States,Oshkosh,64.0,O'Neill,Men,Swim,0
M,China,Shanghai,53.0,UltraClub;Ed Hardy,Men;Men,Tops & Tees;Sleep & Lounge,0
F,China,Chongqing,50.0,Hard Tail,Women,Leggings,0
M,Japan,City of the city,26.0,Sirisha,Men,Sleep & Lounge,0
M,China,Luoyang,58.0,Robert Graham;DKNY;Oakley,Men;Men;Men,Tops & Tees;Suits & Sport Coats;Outerwear & Coats,0
M,China,Huaian,15.0,2(x)ist;Jet Lag;Haggar,Men;Men;Men,Underwear;Shorts;Pants,0
M,France,Lyon,33.0,Ozone;Adventure Time,Men;Men,Socks;Tops & Tees,0
F,China,Hohhot,42.0,Funfash;Illusion;Yala;Black Market-Lowbrow;Speedo,Women;Women;Women;Women;Women,Dresses;Intimates;Sleep & Lounge;Fashion Hoodies & Sweatshirts;Swim,1
F,Spain,Huércal de Almería,66.0,Wacoal,Women,Intimates,0
M,China,Beijing,22.0,Carhartt,Men,Socks,0
F,China,Shangrao,58.0,Dickies,Women,Jeans,0
F,China,Beijing,49.0,Hanes;BCBGMAXAZRIA;Full Tilt,Women;Women;Women,Intimates;Tops & Tees;Fashion Hoodies & Sweatshirts,1
F,United States,Petersburg,13.0,Intimates Boutique;180s,Women;Women,Intimates;Socks & Hosiery,0
M,Brasil,São Paulo,38.0,Dockers;Hanes;Wigwam;Wigwam,Men;Men;Men;Men,Pants;Socks;Socks;Socks,1
M,China,Suzhou,13.0,Columbia;Carhartt,Men;Men,Tops & Tees;Pants,1
M,United States,Phoenixville,48.0,Tommy Bahama,Men,Sleep & Lounge,1
F,China,Zaozhuang,55.0,KAMALIKULTURE;DAVID Seeds;Bikinimo Swimwear,Women;Women;Women,Dresses;Leggings;Swim,0
F,United States,Palmdale,18.0,Melissa Odabash,Women,Swim,0
M,United States,Chesapeake,50.0,Toy Machine;Carhartt;Storus Corporation,Men;Men;Men,Socks;Jeans;Accessories,0
M,United States,Miami Gardens,39.0,Tommy Bahama,Men,Shorts,0
M,Spain,Zaragoza,44.0,Calvin Klein;Fruit of the Loom,Men;Men,Pants;Underwear,0
F,Brasil,Panambi,23.0,Roxy,Women,Fashion Hoodies & Sweatshirts,0
F,Brasil,Pederneiras,35.0,Allegra K,Women,Blazers & Jackets,0
F,Brasil,Campo Alegre,23.0,Sutton Studio;Champion;Juicy Couture;Speedo;Oscar de la Renta;Julie France,Women;Women;Women;Women;Women;Women,Sweaters;Active;Fashion Hoodies & Sweatshirts;Swim;Intimates;Intimates,0
M,China,Kashgar area,70.0,TYR,Men,Swim,0
F,China,Huaihua,56.0,Allegra K;Gloves Online,Women;Women,Blazers & Jackets;Accessories,0
M,South Korea,Jeonju City,13.0,Silver Jeans,Men,Jeans,0
F,Germany,Meinerzhagen,36.0,Barely There;Ariat,Women;Women,Intimates;Jeans,0
F,Belgium,Turnhout,47.0,Va Bien;Shephe;Roxy,Women;Women;Women,Intimates;Sweaters;Accessories,0
M,South Korea,Paju City,17.0,Touch of Europe Flannel Pants,Men,Sleep & Lounge,0
M,South Korea,Namyangju City,61.0,Injinji;Stance;Carhartt,Men;Men;Men,Socks;Socks;Active,0
M,China,Lan'Zhou,60.0,2XU;Blue Marlin;Reebok;Diesel,Men;Men;Men;Men,Active;Fashion Hoodies & Sweatshirts;Active;Swim,1
M,United States,Bloomington,59.0,Dockers,Men,Pants,0
M,South Korea,Uijeongbuxi,47.0,Calvin Klein;Ralph Lauren;HUGO BOSS,Men;Men;Men,Underwear;Pants;Underwear,0
F,China,Heyuan,17.0,Underglam;ASICS,Women;Women,Intimates;Maternity,0
F,United States,Cicero,62.0,bSoft,Women,Socks & Hosiery,0
F,China,Changzhou,35.0,prAna;Body Wrap;A Pea in the Pod,Women;Women;Women,Active;Intimates;Maternity,0
M,United States,Buena Park,30.0,KAVU;Nantucket Brand;Southpole,Men;Men;Men,Pants;Shorts;Shorts,0
M,China,Mudanjiang,38.0,Cardi International;Oakley;Speedo,Men;Men;Men,Suits & Sport Coats;Accessories;Swim,1
F,Brasil,São Paulo,31.0,Motherhood Maternity,Women,Maternity,0
M,Brasil,São Miguel dos Campos,30.0,Mountain Hardwear,Men,Shorts,1
M,France,Toulouse,45.0,Caravelli,Men,Suits & Sport Coats,0
M,Brasil,Ipu,23.0,Port Authority,Men,Tops & Tees,0
F,China,Quanzhou,16.0,LLange Maternity,Women,Maternity,0
F,China,Linyi,33.0,Gold Toe;Lucky Brand,Women;Women,Active;Jeans,0
F,United States,Amarillo,14.0,JAG;Motherhood Maternity,Women;Women,Swim;Maternity,1
F,Brasil,São Paulo,21.0,Champion;UltraSofts by National,Women;Women,Intimates;Pants & Capris,0
F,United States,Huntsville,15.0,Hot Chillys;Columbia;Allegra K,Women;Women;Women,Active;Accessories;Blazers & Jackets,0
F,China,Zhangzhou,33.0,RAB,Women,Intimates,0
F,United States,Corpus Christi,37.0,Capezio,Women,Active,1
M,Brasil,Ibirité,58.0,Ray-Ban,Men,Accessories,0
M,France,Cambrai,52.0,Kanu Surf,Men,Swim,0
F,Germany,Lehrte,25.0,Bathrobes Online;Hot from Hollywood;Fruit of the Loom;Frankie B.;Luli Fama;Vanity Fair,Women;Women;Women;Women;Women;Women,Sleep & Lounge;Dresses;Active;Jeans;Swim;Plus,0
M,Spain,Sant Feliu de Llobregat,56.0,French Connection,Men,Sweaters,0
F,China,Foshan,15.0,Just My Size,Women,Intimates,0
M,China,Jinan,19.0,Ian Leino Design;Headchange;Duofold,Men;Men;Men,Tops & Tees;Accessories;Active,0
M,China,Shanwei,34.0,Thorlo;True Religion;Speedo;Brand Q;Out of Print,Men;Men;Men;Men;Men,Active;Jeans;Swim;Suits & Sport Coats;Tops & Tees,1
F,Brasil,Indaial,12.0,Corset-story;Bag Girls;Barely There;Vanity Fair;Merrell,Women;Women;Women;Women;Women,Intimates;Plus;Intimates;Intimates;Shorts,0
M,United States,Orlando,35.0,TUMI;SmartWool;Duofold;Nautica,Men;Men;Men;Men,Accessories;Underwear;Underwear;Jeans,1
F,South Korea,Hwaseong City,37.0,Hot from Hollywood,Women,Dresses,0
M,China,Chengdu,32.0,Nautica;Gotcha,Men;Men,Sweaters;Swim,0
F,Brasil,Congonhas,35.0,CorsetDeal;Suit Studio,Women;Women,Intimates;Suits,0
F,United States,Cambridge,69.0,Jessica Simpson,Women,Outerwear & Coats,0
F,United States,Anchorage,29.0,HOBO,Women,Plus,0
F,Brasil,São Bento do Una,51.0,Southpole,Women,Outerwear & Coats,0
F,United States,Marietta,29.0,Overland Sheepskin Co;American Apparel,Women;Women,Sweaters;Leggings,0
F,China,White,30.0,Age Group,Women,Sleep & Lounge,0
F,China,Suzhou,65.0,Swim Systems;Icebreaker,Women;Women,Swim;Tops & Tees,0
M,China,Jinan,48.0,Haggar;Robert Graham,Men;Men,Suits & Sport Coats;Tops & Tees,0
M,United Kingdom,Selby,33.0,Carhartt;Metal Mulisha;Lee,Men;Men;Men,Outerwear & Coats;Swim;Pants,0
M,China,Shaoxing,67.0,Jet Lag,Men,Shorts,0
F,China,Shenzhen,54.0,boxed-gifts;Allegra K,Women;Women,Plus;Blazers & Jackets,0
F,Brasil,Viçosa,22.0,Shirt Me Up,Women,Tops & Tees,1
M,China,Weinan,66.0,Realtree,Men,Swim,0
F,United States,Rogers,56.0,Champion;MV Sport;Joe's Jeans,Women;Women;Women,Active;Fashion Hoodies & Sweatshirts;Shorts,0
F,Belgium,Dour,61.0,Marshal,Women,Plus,0
M,Brasil,Valença,41.0,Bottoms Out;Nautica;Champion;LRG,Men;Men;Men;Men,Sleep & Lounge;Tops & Tees;Tops & Tees;Jeans,0
M,China,Suzhou,38.0,Diesel,Men,Underwear,0
M,Brasil,null,30.0,A:X Armani Exchange,Men,Jeans,0
M,China,Zhanjiang,18.0,Pendleton,Men,Tops & Tees,1
F,Germany,Grimma,23.0,Maidenform;Vanity Fair;Jessica Simpson;AJs;Democracy,Women;Women;Women;Women;Women,Intimates;Intimates;Dresses;Active;Pants & Capris,0
F,Germany,Reutlingen,14.0,Levi's,Women,Jeans,0
F,United States,Fairfield,25.0,FineBrandShop;Wacoal;BCBGMAXAZRIA,Women;Women;Women,Blazers & Jackets;Intimates;Tops & Tees,0
F,China,Lan'Zhou,64.0,Hurley,Women,Pants & Capris,0
F,China,Wuhan,31.0,Felina;Eddie Bauer,Women;Women,Intimates;Sweaters,0
F,Brasil,Brasília,69.0,Allegra K,Women,Dresses,0
F,Australia,Melbourne,30.0,Alivila.Y Fashion;Sutton Studio;Levi's;Nine West;Funfash;MICHAEL Michael Kors,Women;Women;Women;Women;Women;Women,Sleep & Lounge;Blazers & Jackets;Jeans;Suits;Tops & Tees;Outerwear & Coats,0
M,United States,New Kingman-Butler,26.0,True Religion;Haggar;Tommy Bahama;Threads4Thought;Marc Ecko Cut & Sew,Men;Men;Men;Men;Men,Jeans;Pants;Sweaters;Active;Fashion Hoodies & Sweatshirts,0
M,Brasil,Socorro,22.0,555 Turnpike;Underworks;7 For All Mankind;Jones New York,Men;Men;Men;Men,Shorts;Underwear;Jeans;Suits & Sport Coats,0
M,China,Shenzhen,65.0,Robinson;Hanes;Parke & Ronen,Men;Men;Men,Sleep & Lounge;Underwear;Swim,0
M,Brasil,São Pedro da Aldeia,34.0,Football Fanatics;Ariat,Men;Men,Fashion Hoodies & Sweatshirts;Jeans,1
F,United Kingdom,Kidderminster,17.0,Seven7,Women,Tops & Tees,0
F,China,Chengdu,37.0,Allegra K,Women,Blazers & Jackets,0
F,China,Taizhou,37.0,Alfred Dunner;Jessica Howard,Women;Women,Pants & Capris;Dresses,0
F,United States,Houston,36.0,My1stwish,Women,Sweaters,0
F,United States,Wakefield,39.0,Stella Elyse;Yummie Tummie,Women;Women,Leggings;Intimates,0
M,United States,Danville,67.0,WESC;7 For All Mankind;Diesel,Men;Men;Men,Jeans;Jeans;Jeans,0
F,France,Mauguio,14.0,Wacoal;Soho Girls;Roxy;Hanes;BCBGeneration,Women;Women;Women;Women;Women,Intimates;Socks & Hosiery;Fashion Hoodies & Sweatshirts;Intimates;Dresses,0
F,Spain,Barcelona,50.0,Champion,Women,Active,0
F,Brasil,Salvador,56.0,Sweet Mommy,Women,Maternity,0
M,United States,Prairie Village,30.0,RVCA;Dosh;Bottoms Out,Men;Men;Men,Shorts;Accessories;Sleep & Lounge,0
F,Brasil,Remanso,36.0,Woolrich;Maternal America,Women;Women,Sweaters;Maternity,0
M,United States,Shafter,44.0,Tommy Hilfiger,Men,Underwear,0
F,United Kingdom,Northampton,45.0,Prima Donna;RVCA,Women;Women,Intimates;Shorts,0
F,China,Ganzhou,61.0,eyewear,Women,Accessories,0
F,China,Shanwei,69.0,Volcom;Wrangler,Women;Women,Jeans;Jeans,0
M,United States,San Antonio,21.0,Alternative;Macks Prairie Wings;Carhartt;Fox,Men;Men;Men;Men,Suits & Sport Coats;Fashion Hoodies & Sweatshirts;Outerwear & Coats;Accessories,0
F,Australia,Tuerong,49.0,Volcom;Activewear Apparel;Allegra K;Wallflower;Vanity Fair,Women;Women;Women;Women;Women,Sweaters;Fashion Hoodies & Sweatshirts;Fashion Hoodies & Sweatshirts;Jeans;Intimates,0
M,Germany,Augsburg,37.0,G-Star,Men,Jeans,0
M,Japan,Hiroshima city,29.0,Guy Harvey,Men,Swim,0
M,Brasil,Lauro de Freitas,51.0,Icebreaker;Louis Raphael,Men;Men,Socks;Pants,0
F,Germany,Konstanz,40.0,Bslingerie;Skelapparel;Cool Kaftans,Women;Women;Women,Intimates;Dresses;Dresses,0
F,United States,Mulberry,17.0,UjENA,Women,Clothing Sets,0
M,South Korea,Seoul,40.0,Nike;Allegra K,Men;Men,Accessories;Sweaters,0
