iter	Logloss
0	0.6585542674
1	0.6340137576
2	0.6165570592
3	0.605707711
4	0.5965091743
5	0.590913862
6	0.5859564247
7	0.5824090234
8	0.5803448712
9	0.5783661127
10	0.576868425
11	0.5759685386
12	0.5753211792
13	0.5747761147
14	0.5742026117
15	0.5739677751
16	0.5737973525
17	0.5735050881
18	0.5732898254
19	0.5731152174
20	0.5728719413
21	0.5727377259
22	0.5724618737
23	0.5723975855
24	0.5722640053
25	0.5720877426
26	0.5719651141
27	0.5718249026
28	0.5716754626
29	0.571607761
30	0.5714837226
31	0.5712158053
32	0.5710992336
33	0.570975324
34	0.5708505139
35	0.5707305447
36	0.570535101
37	0.5704025149
38	0.5702644943
39	0.5701185669
40	0.5699492697
41	0.5698461841
42	0.5697038137
43	0.5695968261
44	0.5694806209
45	0.5693694911
46	0.5692411712
47	0.5691574295
48	0.5690555266
49	0.5689384323
50	0.5688203553
51	0.5687019494
52	0.5686162943
53	0.5685405503
54	0.5684268784
55	0.5682360406
56	0.5681364648
57	0.5680545124
58	0.5678654623
59	0.5677768409
60	0.567624462
61	0.5674485706
62	0.5673310928
63	0.5672374465
64	0.5671602233
65	0.5670758608
66	0.5669810541
67	0.5668873623
68	0.5667033084
69	0.5666018119
70	0.566491978
71	0.5663660667
72	0.5661487661
73	0.5659964812
74	0.5658148089
75	0.5657141888
76	0.5654724119
77	0.5653381699
78	0.5652407551
79	0.564946357
80	0.5645937431
81	0.5643548374
82	0.5640568926
83	0.5637753332
84	0.5636268741
85	0.563256816
86	0.5630361285
87	0.5628096981
88	0.5624797799
89	0.5622666345
90	0.5620227152
91	0.5614670696
92	0.5611292513
93	0.5608413463
94	0.5605221523
95	0.5600476899
96	0.5597916522
97	0.5594865434
98	0.559049252
99	0.5587278338
100	0.5584979824
101	0.558208891
102	0.5580137504
103	0.5579639175
104	0.5577591792
105	0.5576250165
106	0.5572100459
107	0.5568681003
108	0.5566483589
109	0.5564413402
110	0.5560378913
111	0.5557995159
112	0.5554572729
113	0.5551568103
114	0.5548806872
115	0.5545153406
116	0.5542958046
117	0.5539532984
118	0.5538251974
119	0.5537278189
120	0.5536259055
121	0.5531604076
122	0.5528639861
123	0.5525626767
124	0.552250819
125	0.5518537785
126	0.5518097032
127	0.5515786313
128	0.5512689155
129	0.5511328245
130	0.5510808663
131	0.5509669521
132	0.5507707706
133	0.5504043451
134	0.5501652241
135	0.5501184274
136	0.5500418042
137	0.5498390374
138	0.5496174531
139	0.5495769749
140	0.5491968818
141	0.549070332
142	0.5487589477
143	0.5485937099
144	0.5485391712
145	0.5484917028
146	0.5482808052
147	0.548025002
148	0.5479946781
149	0.5479533886
150	0.5477767503
151	0.5476643778
152	0.5476217437
153	0.5475932161
154	0.5471817702
155	0.5469097894
156	0.5465448598
157	0.546313545
158	0.5461165314
159	0.5459098551
160	0.5456455033
161	0.5453964382
162	0.5452426355
163	0.5451395436
164	0.5450841673
165	0.5450271852
166	0.5449896721
167	0.5446959037
168	0.5444521792
169	0.5443561135
170	0.544210508
171	0.5440898936
172	0.5440450194
173	0.5439923345
174	0.543659945
175	0.5432915845
176	0.5430791422
177	0.5429731499
178	0.5428600013
179	0.5427651428
180	0.5425649865
181	0.5423336417
182	0.5421000521
183	0.5419842895
184	0.5418618161
185	0.5417601039
186	0.5416477322
187	0.5412845885
188	0.5412019715
189	0.5411166712
190	0.5408491162
191	0.5407912025
192	0.5404716525
193	0.5403955856
194	0.5400872072
195	0.5399207219
196	0.5396718616
197	0.5395271826
198	0.5393229425
199	0.5391109169
