iter	Passed	Remaining
0	82	16442
1	115	11477
2	151	9972
3	183	8983
4	216	8444
5	248	8037
6	283	7826
7	316	7587
8	348	7392
9	381	7249
10	417	7180
11	453	7103
12	487	7006
13	524	6971
14	561	6931
15	594	6837
16	626	6744
17	660	6677
18	693	6607
19	726	6539
20	758	6467
21	793	6416
22	827	6364
23	859	6303
24	892	6249
25	928	6212
26	963	6172
27	1009	6199
28	1052	6204
29	1085	6151
30	1126	6142
31	1162	6101
32	1196	6052
33	1228	5997
34	1260	5943
35	1293	5894
36	1330	5859
37	1363	5811
38	1398	5771
39	1432	5731
40	1465	5683
41	1501	5646
42	1533	5599
43	1565	5551
44	1598	5504
45	1630	5459
46	1663	5413
47	1695	5369
48	1730	5331
49	1762	5288
50	1795	5245
51	1832	5214
52	1864	5171
53	1897	5131
54	1931	5091
55	1965	5054
56	2000	5018
57	2034	4979
58	2067	4941
59	2101	4903
60	2134	4864
61	2171	4832
62	2204	4793
63	2238	4755
64	2270	4716
65	2294	4657
66	2326	4618
67	2360	4581
68	2394	4545
69	2428	4509
70	2461	4472
71	2497	4440
72	2532	4405
73	2565	4368
74	2598	4330
75	2630	4292
76	2663	4254
77	2695	4215
78	2727	4177
79	2761	4141
80	2795	4106
81	2832	4076
82	2865	4039
83	2899	4003
84	2931	3966
85	2965	3930
86	2997	3893
87	3031	3858
88	3065	3823
89	3097	3785
90	3131	3751
91	3170	3721
92	3203	3686
93	3236	3650
94	3270	3614
95	3305	3580
96	3337	3544
97	3371	3509
98	3403	3472
99	3438	3438
100	3473	3404
101	3508	3370
102	3542	3335
103	3573	3298
104	3606	3263
105	3639	3227
106	3675	3194
107	3711	3161
108	3745	3127
109	3780	3092
110	3815	3059
111	3850	3025
112	3884	2990
113	3918	2956
114	3954	2922
115	3990	2889
116	4026	2856
117	4062	2822
118	4097	2789
119	4133	2755
120	4172	2724
121	4210	2691
122	4244	2657
123	4281	2624
124	4315	2589
125	4348	2554
126	4381	2518
127	4417	2484
128	4452	2450
129	4486	2415
130	4519	2380
131	4555	2346
132	4588	2311
133	4624	2277
134	4659	2243
135	4693	2208
136	4726	2173
137	4761	2139
138	4796	2105
139	4831	2070
140	4866	2036
141	4901	2002
142	4936	1967
143	4970	1933
144	5004	1898
145	5038	1863
146	5073	1829
147	5107	1794
148	5141	1759
149	5174	1724
150	5209	1690
151	5244	1656
152	5278	1621
153	5311	1586
154	5348	1552
155	5384	1518
156	5420	1484
157	5456	1450
158	5493	1416
159	5528	1382
160	5562	1347
161	5599	1313
162	5633	1278
163	5672	1245
164	5705	1210
165	5739	1175
166	5773	1140
167	5807	1106
168	5842	1071
169	5888	1039
170	5927	1005
171	5966	971
172	6000	936
173	6034	901
174	6068	866
175	6104	832
176	6137	797
177	6171	762
178	6205	728
179	6239	693
180	6274	658
181	6310	624
182	6344	589
183	6378	554
184	6413	519
185	6447	485
186	6483	450
187	6516	415
188	6549	381
189	6584	346
190	6621	311
191	6657	277
192	6693	242
193	6729	208
194	6764	173
195	6799	138
196	6834	104
197	6869	69
198	6904	34
199	6938	0
